GeneName	rank
TK1	-10.2508905221486
RRM2	-9.78701826511058
PLK1	-9.39439338253841
CDC20	-9.07386351578746
MKI67	-9.00754655169503
IGHV4-59	-8.69030289711549
HJURP	-8.68660549993601
MYBL2	-8.66233289894204
MZB1	-8.58870368825078
TPX2	-8.46152007342359
H1-2	-8.42487794469963
UBE2C	-8.39762722577956
AURKB	-8.25178469210596
CCNA2	-8.08563249901407
FOXM1	-8.06973021421003
IGHV1-46	-7.96279047152804
SHCBP1	-7.88974855625462
IGHV1-18	-7.84897128099028
BIRC5	-7.84503675909164
IGHG1	-7.74545432599395
E2F2	-7.65955902054188
BUB1	-7.39491729177855
TOP2A	-7.33588326933433
ESPL1	-7.27977823049881
CCNB2	-7.2369174476748
CDT1	-7.23125162738815
DTL	-7.19441202638213
PYCR1	-7.11581112871164
PKMYT1	-7.11532670562716
IGHV1-24	-6.99888051353618
IGHV4-34	-6.99880076732532
UHRF1	-6.80970464967656
ZWINT	-6.80479330725573
CDCA2	-6.80090315864555
DERL3	-6.77497063493248
MCM10	-6.77423760256354
CDC6	-6.75454517481987
ROMO1	-6.67536371126414
ASPM	-6.59255374095763
KIF2C	-6.55022798035768
IGKC	-6.53016210724543
CDCA5	-6.49769508367032
GINS2	-6.43655912889556
GTSE1	-6.37483349139748
IGLV3-25	-6.25700484230041
H1-5	-6.25076594005235
IGLV2-11	-6.24527929435854
TROAP	-6.21682748352239
CEP55	-6.17970076458293
IGLV4-69	-6.1778652961199
IGHV3-33	-6.17718331503476
BUB1B	-6.12234464664947
KIF20A	-6.09782360515981
NCAPG	-6.08205612583778
POC1A	-6.07539431825706
KIFC1	-6.07111308250491
IGLV2-14	-6.06221950604175
IGHV3-21	-6.03545165589282
PRDX4	-6.00794138286805
JCHAIN	-6.00707068427775
IGKV3-15	-5.99159377114391
IFI27	-5.96269558566615
CLSPN	-5.95006546573938
SLC38A5	-5.94051653241302
CENPA	-5.93276272751539
IGLV9-49	-5.9155585864108
IGKV3-11	-5.89757768587311
IGLC3	-5.89753166468976
IGKV4-1	-5.77965983437676
CDCA3	-5.76946694867512
CDC45	-5.70857525269903
IGLV3-1	-5.70589625561791
TNFRSF17	-5.64969088700289
MTDH	-5.57623410319772
UQCRH	-5.54617454634677
NCAPH	-5.52911591086561
KCNN3	-5.52128928417819
IGLV2-23	-5.48453737975559
TXNDC5	-5.4542923212474
RAD54L	-5.451256092858
RAD51	-5.4510197015529
IGHV5-51	-5.38734033553091
RNASE1	-5.32619687486515
TRIP13	-5.31086499989045
CCNB1	-5.28371153349591
MELK	-5.26667289110279
ACOT7	-5.24237625200653
IGLV6-57	-5.18782602318445
IGLC2	-5.17627468522241
CDK1	-5.17122183644708
IGKV1-5	-5.13754602673159
CKAP2L	-5.13519731107789
GGH	-5.12534502490583
CDKN3	-5.11850741150598
HMMR	-5.11611013712819
TYMS	-5.01520460261978
TXN	-5.01011191169988
ANLN	-5.00949831889634
POLQ	-4.99909366033199
KIF11	-4.9830985801273
SKA3	-4.97789415107321
SKA1	-4.92762418797293
SLCO4A1	-4.89960640349502
IGHV3-23	-4.89914497091477
IGLV1-40	-4.84078207451563
HMGB2	-4.81363161527288
BHLHA15	-4.76661302834156
GPRC5D	-4.74805362560451
H1-3	-4.73646113550372
IGHV3-20	-4.72249092657543
CENPF	-4.71873185760346
IGHV3-11	-4.71746895159442
NME1	-4.70506485170384
IGLV3-10	-4.6993534415286
PPIB	-4.66023912381993
H2BC4	-4.65611651315586
KIF15	-4.61739349447832
IGKV1-27	-4.61216488672634
MCM2	-4.61156421526648
GLDC	-4.60136554521991
IGKV3D-11	-4.56506109957988
CTNNAL1	-4.54634254522255
GAPDH	-4.54115526347883
KIF14	-4.53844119768129
ESCO2	-4.53732864061681
NUF2	-4.51771162046496
NT5DC2	-4.51233277009573
NEK2	-4.50584739296786
IGHV1-2	-4.44938462534073
CDCA8	-4.42932239604913
ORC1	-4.39020088668802
IGKV5-2	-4.3890242691216
COX8A	-4.38832267789516
FABP5	-4.38166317319707
CENPW	-4.3698431693768
PRDX5	-4.34899247208504
COX5A	-4.34152594407008
HMGA1	-4.31886460760201
MYDGF	-4.30239835393726
IGHG3	-4.30199671731823
UBE2J1	-4.30171655932468
NDUFB9	-4.29803403991511
CRELD2	-4.28753444980111
HMGB3	-4.28713654450905
H1-4	-4.28149827317855
SPC24	-4.27721496681657
SDF2L1	-4.25456000063528
CLU	-4.25430161982116
IGHV4-61	-4.20326965572966
IGLV3-27	-4.20102207064095
EXO1	-4.16410868504498
ITM2C	-4.14494975601486
PSMB6	-4.14098005545455
COX6A1	-4.13907214049213
IGLV1-47	-4.12375062671198
H2AJ	-4.08765143613982
KNL1	-4.07956289554393
GAS6	-4.07801386844017
PDIA6	-4.03435984074254
IGHV3-30	-4.03258469939678
DEPDC1B	-4.01495899597917
IGLV1-44	-4.00908970802558
PIF1	-3.98999500094611
SERF2	-3.9886891144939
SEC11C	-3.98077837393752
E2F1	-3.95635096061606
TTK	-3.91588487340617
C1QB	-3.89519758352256
IGHV3-49	-3.87819176464582
CDKN2C	-3.85343000675031
SLC35B1	-3.80949461996494
H1-10	-3.78113208442182
LGALS1	-3.76880847497215
IGLV7-46	-3.75930704393654
RECQL4	-3.73939021942213
PHGDH	-3.72999507325348
IGHV4-28	-3.70596195951918
KIF18B	-3.68578816537012
MCM4	-3.67446655570209
H2BC21	-3.65661595615949
IGKV1-16	-3.64140772813207
UBE2T	-3.63147709139097
MRPS15	-3.57536710536493
IGHA2	-3.56589669412395
DYNC2I2	-3.52387920595858
IGHV3-7	-3.45024920135244
H2BC12	-3.39767125615414
PARK7	-3.35964176918569
IGHV3-66	-3.34644532122115
FEN1	-3.3298479184731
S100A10	-3.32626906711856
IGHA1	-3.32003772080395
TEDC2	-3.30991576420762
IGLV3-21	-3.30393284984769
FDXR	-3.30365202396607
PSMA6	-3.2850268227929
DHFR	-3.25071361522284
GMPR	-3.24876151752014
SPAG5	-3.23272651134183
IGKV2-30	-3.23026338919516
SSR4	-3.21424131843795
TREML1	-3.1933387550388
MRPL28	-3.18727116806587
TRIM58	-3.15806760084084
SEC61B	-3.14559250045934
NDC80	-3.12839557067356
ITGA2B	-3.12591179382143
PRDX1	-3.11409194781005
CHPF	-3.09834620812097
